"eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","longitude","latitude"
1,"Jarryds","breakfast","Cafe",2,"7",NA,"7","NA","7","NA",1.5,3,18.38201,-33.92145
3,"Truth Coffee","breakfast","Cafe",1,"7.5","18","7.5","18","7.5","18",1,3,18.42256,-33.92819
5,"The Deckhouse Crab Shack and BBQ","breakfast","Seafood",3,"11","22","11","22","11","22",2,1,18.4072,-33.93409
7,"The Towers Restaurant - African Pride Crystal Towers","breakfast","Contemporary",3,"6.5","22","6.5","22","6.5","22",2,1,18.5136667,-33.8880429
9,"Jason","breakfast","Cafe",1,NA,NA,"NULL","NULL","NULL","NULL",1,3,18.41477,-33.92453
11,"Karibu","breakfast","Steakhouse",3,"9","23","9","23","9","23",2,1,NA,NA
13,"NOMAD Bistro Fusion","breakfast","International",1,"8","16","8","16","8","16",1,1,18.4213655,-33.9197979
15,"Maria's","breakfast","Greek",2,"8.5","22","8.5","22","8.5","22",1.5,2,18.4240553,-33.9248685
17,"Starlings Cafe","breakfast","Cafe",1,"7","17","7","17","7","17",1,3,18.481927,-33.980067
19,"Bacon on Bree","breakfast","Cafe",1,"7","16","7","16","7","16",1,2,18.41358,-33.9255799
21,"The Larder","breakfast","Cafe",1,"7","17","7","17","7","17",1,2,18.464752,-33.98186
23,"Schoon De Companje","breakfast","European",1,"7","22","7","22","7","22",1,2,18.4240553,-33.9248685
25,"Company's Garden","breakfast","Cafe",1,"7","18","7","18","7","18",1,2,18.4161928,-33.9271325
27,"Honest Chocolate Cafe","breakfast","Cafe",1,"9","17","9","17","9","17",1,2,18.4170927,-33.9226046
29,"Mynt Cafe","breakfast","Cafe",2,"8","23","8","23","8","23",1.5,1,18.3789104,-33.9503143
31,"Warwick Wine Estate","breakfast","South African",3,"9","17","9","17","9","17",2,1,18.4240553,-33.9248685
33,"PRIMI Piatti","breakfast","Italian",3,"9","22","9","22","9","22",2,2,NA,NA
35,"Four & Twenty","breakfast","Cafe",2,"8","17","8","17","8","17",1.5,3,18.4240553,-33.9248685
37,"Greens","breakfast","Cafe",2,"8","17","8","17","8","17",1.5,1,18.4240553,-33.9248685
39,"tashas","breakfast","Cafe",2,"7.5","21","7.5","21","7.5","21",1.5,3,18.4661816,-34.0084456
41,"Lekke Neh Restaurant","breakfast","Burger",2,"9","17","9","17","9","17",1.5,1,NA,NA
43,"Durbanville Hills Restaurant","breakfast","Grill",3,"8.5","15","8.5","15","8.5","15",2,1,18.38144,-33.92226
